iso3,year,mu,sigma,n,N_s,N_r,cj_ratio,real_gdp,inflation,unemployment,population,intrest,market_cap,elec_dem,lib_dem
PER,2007,0.00127640923997763,0.0183405951950041,241,123,118,1.04237288135593,319693,90.4492340087891,8.39900016784668,28.1219997406006,5,69386470000,0.801,0.65
PER,2008,-0.00377915958925507,0.0289144323780312,241,128,113,1.13274336283186,348870,95.6849212646484,8.37899971008301,28.2999992370605,6.5,37876760000,0.805,0.652
PER,2009,0.00290871046640649,0.0181702628585734,240,111,129,0.86046511627907,352693,98.4935455322266,8.38599967956543,28.4850006103516,1.25,71662540000,0.799,0.647
PER,2010,0.00205212805432031,0.0117663221881705,244,136,108,1.25925925925926,382081,100,7.90000009536743,28.693000793457,3,103347480000,0.806,0.654
PER,2011,-0.000748376452862961,0.0218528078873491,244,111,133,0.834586466165414,406256,103.368934631348,7.66499996185303,28.9060001373291,4.25,81878190000,0.811,0.666
PER,2012,0.000238305628032098,0.00854906943712169,242,114,128,0.890625,431199,107.147827148437,6.80100011825562,29.113000869751,4.25,102616700000,0.823,0.694
PER,2013,-0.00109610849954387,0.0116938565318545,246,134,112,1.19642857142857,456435,110.15503692627,5.95599985122681,29.3409996032715,4,80977520000,0.82,0.684
PER,2014,-0.000255401482946553,0.00813454779870067,246,128,118,1.08474576271186,467308,113.72966003418,5.57100009918213,29.6159992218018,3.5,78839860000,0.82,0.686
PER,2015,-0.00168146720074914,0.0105842980193089,242,120,122,0.983606557377049,482507,117.765296936035,6.48899984359741,29.9640007019043,3.75,56555700000,0.816,0.688
PER,2016,0.0018840429429582,0.0111827948131371,243,118,125,0.944,501582,121.996673583984,6.75,30.4230003356934,4.25,81088973557.1815,0.781,0.665
PER,2017,0.0010217204032501,0.00712151394224703,244,120,124,0.967741935483871,514215,125.418098449707,6.88600015640259,30.9740009307861,3.25,99217960000,0.788,0.677
PER,2018,-0.000130071246361932,0.00673605389889332,244,118,126,0.936507936507937,534626,127.069236755371,6.65299987792969,31.5620002746582,2.75,93385360000,0.807,0.699
PER,2019,0.000239779021211077,0.00629226754083817,246,124,122,1.01639344262295,546604,129.782821655273,6.58099985122681,32.1310005187988,2.25,98964960000,0.802,0.696
PER,2020,0.0000577362588871525,0.0164418792783019,248,128,120,1.06666666666667,487192,132.154556274414,13.03600025177,32.6259994506836,0.25,87092130000,0.819,0.709
PER,2021,-0.000789385872630597,0.0166882495209642,165,88,77,1.14285714285714,552560,137.412933349609,10.7320003509521,33.0349998474121,2.5,78025830000,0.77,0.661
POL,2013,-0.000158816321568501,0.0120085843003305,198,103,95,1.08421052631579,1659282,109.318161010742,10.3280000686646,38.0629997253418,2.5,204542550000,0.891,0.827
POL,2014,-0.00016003609015753,0.0096081773471802,239,107,132,0.810606060606061,1722949,109.432922363281,8.98799991607666,38.0180015563965,2,168895630000,0.884,0.817
POL,2015,-0.000913903136560032,0.0110622266538866,238,118,120,0.983333333333333,1798471,108.421852111816,7.49900007247925,38.0060005187988,1.5,137769580000,0.875,0.779
POL,2016,0.000190378579661737,0.0120360469735271,245,113,132,0.856060606060606,1851589,107.687126159668,6.16099977493286,37.9669990539551,1.5,138691082497.667,0.727,0.593
POL,2017,0.000958569360196727,0.00960197215315967,244,108,136,0.794117647058824,1946761,109.807334899902,4.88800001144409,37.9729995727539,1.5,201392890000,0.697,0.544
POL,2018,-0.000324820229874365,0.0119870375094858,240,115,125,0.92,2062499,111.74739074707,3.84599995613098,37.9770011901856,1.5,160482620000,0.697,0.523
POL,2019,-0.000236307790443378,0.00958703231547694,242,108,134,0.805970149253731,2154280,114.254844665527,3.27900004386902,37.9729995727539,1.5,151618860000,0.681,0.508
POL,2020,-0.000326848879203175,0.0211514755581047,246,114,132,0.863636363636364,2110761,118.113792419434,3.16300010681152,37.9580001831055,0.100000001490116,177508140000,0.614,0.449
POL,2021,0.000957203673567533,0.01142282186561,167,80,87,0.919540229885057,2257143,124.164115905762,3.37299990653992,37.0730018615723,1.75,197389020000,0.584,0.419
PRY,1997,-0.000326244698491114,0.00625398489988849,224,118,106,1.11320754716981,110424848,36.4260902404785,5,4.97399997711182,20,423720000,0.531,0.385
PRY,1998,-0.00118998446607734,0.0111867538767246,242,146,96,1.52083333333333,110499976,40.6344909667969,5.80000019073486,5.07499980926514,20,366720000,0.534,0.387
